# FNV-1a 32-bit over the key as unsigned bytes, then unsigned remainder by the partition count
# No signed reading anywhere: bytes are unsigned, the fold is unsigned.
# generated by conformance/vectors/generate.py
# keyHex	hash	p1	p2	p3	p4	p16	p64	name
	2166136261	0	1	1	1	5	5	empty
00	84696351	0	1	0	3	15	31	zero byte
7f	4195109838	0	0	0	2	14	14	0x7f — last byte a signed reading gets right
80	2232128415	0	1	0	3	15	31	0x80 — first byte a signed reading gets wrong
ff	2047574606	0	0	2	2	14	14	0xff
757365722d31	4115888500	0	0	1	0	4	52	ascii
757365722d32	4166221357	0	1	1	1	13	45	ascii, one bit apart from the previous
d0b7d0b0d0bad0b0d0b72d37	3316163555	0	1	2	3	3	35	utf-8 cyrillic
6f726465722df09f9a80	2783056589	0	1	2	1	13	13	utf-8 emoji
000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f404142434445464748494a4b4c4d4e4f505152535455565758595a5b5c5d5e5f606162636465666768696a6b6c6d6e6f707172737475767778797a7b7c7d7e7f808182838485868788898a8b8c8d8e8f909192939495969798999a9b9c9d9e9fa0a1a2a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbdbebfc0c1c2c3c4c5c6c7c8c9cacbcccdcecfd0d1d2d3d4d5d6d7d8d9dadbdcdddedfe0e1e2e3e4e5e6e7e8e9eaebecedeeeff0f1f2f3f4f5f6f7f8f9fafbfcfdfeff	2426689733	0	1	2	1	5	5	every byte value
637573746f6d65722f3939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939393939	2253988986	0	0	0	2	10	58	long
