iso,uptime_s,rss_kb,anon_kb,file_kb,swap_kb,threads,host_avail_mb
2026-09-01T06:02:18Z,0,629660,105076,524584,0,17,4354
2026-09-01T06:03:18Z,60,632592,105112,527480,0,17,4349
2026-09-01T06:04:18Z,120,635524,105152,530372,0,17,4348
2026-09-01T06:05:18Z,180,638448,105184,533264,0,17,4375
2026-09-01T06:06:18Z,240,641348,105184,536164,0,17,4385
2026-09-01T06:07:18Z,300,644276,105216,539060,0,17,4349
2026-09-01T06:08:18Z,360,630824,105252,525572,0,17,4350
2026-09-01T06:09:18Z,420,633784,105320,528464,0,17,4392
2026-09-01T06:10:18Z,480,636720,105352,531368,0,17,4387
2026-09-01T06:11:18Z,540,639652,105388,534264,0,17,4400
2026-09-01T06:12:18Z,600,626192,105420,520776,0,17,4344
2026-09-01T06:13:18Z,660,629084,105420,523664,0,17,4380
2026-09-01T06:14:18Z,720,632052,105488,526564,0,17,4367
2026-09-01T06:15:18Z,780,634960,105520,529440,0,17,4377
2026-09-01T06:16:19Z,841,637896,105556,532340,0,17,4375
2026-09-01T06:17:19Z,901,640824,105588,535236,0,17,4370
2026-09-01T06:18:19Z,961,643756,105624,538132,0,17,4354
2026-09-01T06:19:19Z,1021,646656,105624,541032,0,17,4318
2026-09-01T06:20:19Z,1081,633208,105660,527548,0,17,4345
2026-09-01T06:21:19Z,1141,636168,105724,530444,0,17,4362
2026-09-01T06:22:19Z,1201,639104,105760,533344,0,17,4364
2026-09-01T06:23:19Z,1261,625652,105792,519860,0,17,4359
2026-09-01T06:24:19Z,1321,628616,105860,522760,0,17,4353
2026-09-01T06:25:19Z,1381,631540,105892,525648,0,17,4397
2026-09-01T06:26:19Z,1441,634436,105892,528544,0,17,4400
2026-09-01T06:27:19Z,1501,637364,105928,531436,0,17,4374
2026-09-01T06:28:20Z,1562,640296,105964,534332,0,17,4367
2026-09-01T06:29:20Z,1622,643224,105996,537232,0,17,4399
2026-09-01T06:30:20Z,1682,646160,106032,540128,0,17,4382
2026-09-01T06:31:20Z,1742,632704,106064,526644,0,17,4391
2026-09-01T06:32:20Z,1802,635668,106132,529536,0,17,4381
2026-09-01T06:33:20Z,1862,638568,106132,532436,0,17,4389
2026-09-01T06:34:20Z,1922,625108,106168,518940,0,17,4385
2026-09-01T06:35:20Z,1982,628036,106204,521832,0,17,4408
2026-09-01T06:36:20Z,2042,630996,106268,524728,0,17,4389
2026-09-01T06:37:20Z,2102,633924,106304,527620,0,17,4373
2026-09-01T06:38:20Z,2162,636852,106336,530516,0,17,4368
2026-09-01T06:39:20Z,2222,639760,106340,533420,0,17,4385
2026-09-01T06:40:20Z,2282,642700,106376,536324,0,17,4378
