iso,uptime_s,df_used_kb,apparent_kb,segments,broker_rss_kb,broker_fds,broker_state,restarts,produced,consumed,lag,resets,produce_errors,fetch_errors,metrics
2026-08-31T19:52:11Z,0,40,32768,2,66552,20,running,0,-1,-1,-1,-1,-1,-1,""
2026-08-31T19:53:11Z,60,2808,32768,2,91608,22,running,0,2603,1271,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 23/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T19:54:11Z,120,5712,32768,2,106240,22,running,0,5477,2697,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T19:55:11Z,180,8612,32768,2,105164,22,running,0,8350,4132,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 25/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T19:56:11Z,240,11524,32768,2,108212,22,running,0,11229,5556,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T19:57:11Z,300,14432,32768,2,111276,22,running,0,14109,6983,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 23/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T19:58:12Z,361,17340,32768,2,114236,22,running,0,16987,8413,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T19:59:12Z,421,20252,32768,2,117320,22,running,0,19868,9858,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:00:12Z,481,23168,32768,2,120236,22,running,0,22747,11273,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 23/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:01:12Z,541,26080,32768,2,123256,22,running,0,25634,12711,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:02:12Z,601,29000,32768,2,126208,22,running,0,28519,14150,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:03:12Z,661,31912,32768,2,129124,22,running,0,31403,15594,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:04:13Z,722,34824,65536,4,134292,26,running,0,34522,17156,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:05:13Z,782,37736,65536,4,137252,26,running,0,37401,18556,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:06:13Z,842,40648,65536,4,140352,26,running,0,40284,19996,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:07:13Z,902,43560,65536,4,143288,26,running,0,43164,21430,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:08:13Z,962,46472,65536,4,146288,26,running,0,46045,22897,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:09:14Z,1023,49380,65536,4,149204,26,running,0,48924,24295,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:10:14Z,1083,52292,65536,4,152156,26,running,0,51805,25727,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:11:14Z,1143,55200,65536,4,155164,26,running,0,54683,27159,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:12:14Z,1203,58112,65536,4,158112,26,running,0,57563,28623,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:13:14Z,1263,61024,65536,4,161068,26,running,0,60444,30024,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:14:15Z,1324,63936,65536,4,164032,26,running,0,63324,31455,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:15:15Z,1384,66844,98304,6,167988,30,running,0,66198,32883,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:16:15Z,1444,69748,98304,6,170996,30,running,0,69075,34340,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:17:15Z,1504,72660,98304,6,173928,30,running,0,71958,35744,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:18:15Z,1564,75572,98304,6,176884,30,running,0,74838,37174,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:19:15Z,1624,78484,98304,6,179836,30,running,0,77719,38608,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
2026-08-31T20:20:16Z,1685,81392,98304,6,182784,30,running,0,80594,40058,0,0,0,0,"booblik: in 48 rec/s; 0.0 MiB/s | produce 48/s fetch 24/s (0.0 MiB/s) | conns 2 backlog 0 errors 0 dropped 0 held 1"
